africa_shuffled,africa_undirect,asia_shuffled,asia_undirect,australia-oceania_shuffled,australia-oceania_undirect,central_america_shuffled,central_america_undirect,europe_shuffled,europe_undirect,north-america_shuffled,north-america_undirect,planet_shuffled,planet_undirect,south-america_shuffled,south-america_undirect,wikipedia_shuffled,wikipedia_undirect
1,253,1,228,5,46,1,293,16,155,12,190,22,1283,7,105,14,20
1,253,37,495,11,46,10,470,12,209,13,822,11,876,14,173,14,13
2,828,27,424,17,147,26,470,99,209,59,1268,116,1809,66,219,13,14
2,368,73,1441,55,148,38,470,101,209,84,1268,120,1809,120,370,14,14
50,521,86,1392,83,139,62,470,219,213,147,876,134,1809,136,370,14,14
98,515,94,1416,129,243,75,470,142,218,146,876,165,1741,157,208,15,14
104,504,185,1588,189,178,91,470,153,241,144,991,219,2504,207,207,14,17
133,883,265,2473,225,184,65,249,158,496,232,1809,338,2787,233,207,13,17
141,864,238,2310,191,182,103,247,255,653,382,1809,517,2511,293,207,14,17
157,1482,330,3072,203,153,66,572,599,757,365,1809,592,2869,242,532,13,17
133,1372,406,2537,232,326,152,678,753,1368,263,1809,704,2661,233,457,12,17
278,1153,495,2510,389,327,130,674,638,843,371,1721,739,6267,322,499,12,17
189,1310,476,2451,324,327,137,744,1448,963,547,2787,909,9318,315,712,13,17
287,1433,965,3277,282,426,107,727,1277,1036,832,2811,1362,10092,371,599,22,16
326,1153,713,6223,266,608,137,709,1503,1482,975,6028,1192,7829,277,580,19,16
274,1702,740,5690,270,786,256,1003,1452,2148,1238,10089,1828,7213,279,1037,14,16
397,2279,1200,5551,325,689,387,1003,1539,5721,1173,7346,1548,7898,415,999,16,16
922,2088,1009,5582,397,1570,479,1009,2542,6172,1038,7589,2191,7507,264,1245,14,17
698,2048,1050,7570,292,1904,474,999,1959,5072,978,7540,1766,8153,283,1440,14,17
1082,2127,1120,6919,655,1718,340,1031,2019,6133,1066,6941,1672,6943,668,2085,13,17
1697,3788,1348,6126,521,1822,375,1104,1643,6003,952,8306,1771,11863,403,2097,13,22
1626,5967,1293,5263,445,2445,420,1461,1433,5659,1106,7072,2215,10942,729,1952,13,21
1904,5455,1030,4986,790,2299,536,1095,1844,7851,1240,7132,2390,15936,1198,1921,14,43
2255,5408,1127,4928,597,1973,571,1078,2506,11980,1289,8560,2273,14032,1014,1783,14,43
2499,3520,1349,4590,630,1874,569,1482,2012,12573,2019,5566,2313,12948,1429,7583,15,43
1873,3278,1743,8261,607,1891,538,1385,2085,12208,1609,4835,2535,13392,1605,10575,15,43
3433,4587,2068,6642,1533,1746,733,1316,2015,13324,2219,5630,2733,12819,3489,4851,18,35
4009,4520,1914,9127,2489,1606,819,1871,2123,10691,2439,5028,2602,14161,3256,4068,18,35
3604,7418,2609,8123,1786,1556,844,2154,2083,8407,2073,4660,1978,12331,2682,3072,21,35
3589,6263,2957,14841,1526,1536,864,2015,1892,7079,1590,3574,2546,20740,3979,2871,24,35
3902,5713,3092,10890,1349,1501,1499,3538,2315,5012,2274,3642,2642,14976,4170,8506,24,35
4795,4795,6957,6957,1420,1420,3147,3147,4027,4027,3188,3188,10284,10284,6458,6458,35,35
